Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link
114841788592047,Samsung US,,SamsungUS,Appliances,0.37,4433893,2700,yes,https://www.facebook.com/SamsungUS/
133094123381744,FanTake,,,Company,0,74,0,yes,https://www.facebook.com/FanTake-133094123381744/
159986384033802,Adam Zagoria,,ZagsBlog,Journalist,0.22,3116,301,yes,https://www.facebook.com/ZagsBlog/
45592857403,SB Nation Combat Sports,,mmanationdotcom,Recreation & Sports Website,0,4516,3,yes,https://www.facebook.com/mmanationdotcom/
146403465376742,Quickish,,quickish,News & Media Website,0,821,1,yes,https://www.facebook.com/quickish/
6129039822,StumbleUpon,,StumbleUpon,App Page,0.02,632661,445,no,https://www.facebook.com/StumbleUpon/
123146351030521,LinkedIn Editors' Picks,,LinkedInEditors,Media/News Company,0.05,500048,1046,no,https://www.facebook.com/LinkedInEditors/
301326396729324,The Rich Eisen Show,,RichEisenShow,TV Show,0.1,49664,876,no,https://www.facebook.com/RichEisenShow/
152618351445645,The Busby Babe,,TheBusbyBabeSBN,Recreation & Sports Website,0.09,4062,76,yes,https://www.facebook.com/TheBusbyBabeSBN/
189425335940,StreakingtheLawn.com,,StreakingtheLawn,School Sports Team,0.08,13491,2363,yes,https://www.facebook.com/StreakingtheLawn/
150196931683690,Rule of Tree,,RuleOfTree,Recreation & Sports Website,0.03,11424,175,yes,https://www.facebook.com/RuleOfTree/
162618177083945,7500 to Holte: A Blog For Aston Villa Fans,,7500toHolte,Recreation & Sports Website,0.03,108202,72,yes,https://www.facebook.com/7500toHolte/
118523148205452,Royal Blue Mersey,,rbmersey,Website,0.26,1150,83,yes,https://www.facebook.com/rbmersey/
332616240855,Orlando Pinstriped Post,,OrlandoPinstripedPost,Recreation & Sports Website,0.01,4634,43,yes,https://www.facebook.com/OrlandoPinstripedPost/
281709225144,UPROXX News,,UPROXXNews,News & Media Website,0.51,657957,886064,no,https://www.facebook.com/UPROXXNews/
17689782594,Uproxx Hip-Hop,,UPROXXhiphop,Society & Culture Website,0.47,279380,7363,no,https://www.facebook.com/UPROXXhiphop/
115396848484203,Yahoo Sports NBA,,YahooSportsNBA,Media/News Company,0.36,239849,5426,no,https://www.facebook.com/YahooSportsNBA/
323369556862,GangGreenNation - your place for all things New York Jets,,OfficialGGN,Recreation & Sports Website,0.11,31088,471,yes,https://www.facebook.com/OfficialGGN/
148619311832873,Hot Time In Old Town: Chicago Fire Centric Blog About Chicago Soccer,,HotTimeInOldTown,Recreation & Sports Website,0.02,533,2,yes,https://www.facebook.com/HotTimeInOldTown/
45126639765,JoeSportsFan.com,,joesportsfan,Clothing (Brand),0.01,3628,47,yes,https://www.facebook.com/joesportsfan/
121028057923867,The Dugout - WordUpThome.com,,,Recreation & Sports Website,0,845,0,yes,https://www.facebook.com/The-Dugout-WordUpThomecom-121028057923867/
115373925165009,Pete Carroll,,coachpetecarroll,Public Figure,0.01,652983,527,yes,https://www.facebook.com/coachpetecarroll/
8725012666,Boston Celtics,,bostonceltics,Sports Team,0.26,8989997,68119,no,https://www.facebook.com/bostonceltics/
32312768032,Primal Fitness,,primalfitness,Gym/Physical Fitness Center,0.01,3150,13,yes,https://www.facebook.com/primalfitness/
188730715013,Marine Corps Marathon - Official Page,,MarineCorpsMarathon,Nonprofit Organization,0.05,155189,682,yes,https://www.facebook.com/MarineCorpsMarathon/
304664758419,The Animal Review,,animalreview,Entertainment Website,0,1186,0,yes,https://www.facebook.com/animalreview/
51212153078,Nike Football,,nikefootball,Product/Service,0,45008079,38065,no,https://www.facebook.com/nikefootball/
63476045407,XTERRA WETSUITS,,xterrawetsuits,Product/Service,0.01,26328,105,yes,https://www.facebook.com/xterrawetsuits/
15730589196,Zoot Sports,,zootsports,Sports & Recreation,0.02,37336,428,yes,https://www.facebook.com/zootsports/
24266711840,USA Triathlon,,USATriathlon,Nonprofit Organization,0.12,179939,1698,yes,https://www.facebook.com/USATriathlon/
33735392231,Washington Post Sports,,postsports,Company,0.33,17364,270,yes,https://www.facebook.com/postsports/
137007273115122,theScore NBA,,theScoreNBA,Media/News Company,1.58,172809,5416,no,https://www.facebook.com/theScoreNBA/
64230771799,Blogs with Balls,,blogswithballs,Product/Service,0,1134,0,yes,https://www.facebook.com/blogswithballs/
14553116366,Sports Illustrated,,SportsIllustrated,Media/News Company,2.5,2986956,319764,no,https://www.facebook.com/SportsIllustrated/
112585963017,Sporting News,,sportingnews,News & Media Website,0.35,1579684,68062,no,https://www.facebook.com/sportingnews/
174275217692,Bad Left Hook,,badlefthooksbn,Recreation & Sports Website,0.36,181002,3345,no,https://www.facebook.com/badlefthooksbn/
112710942079291,The Boxing Bulletin,,,Product/Service,0,187,0,yes,https://www.facebook.com/The-Boxing-Bulletin-112710942079291/
155123224502661,We Ain't Got No History,,weaintgotnohistory,Recreation & Sports Website,0.47,734260,11598,yes,https://www.facebook.com/weaintgotnohistory/
121556044528315,Brotherly Game,,BrotherlyGame,News & Media Website,0.06,1493,262,no,https://www.facebook.com/BrotherlyGame/
330431036797,Steve Davis' Daily Soccer Fix,,,Author,0,147,0,yes,https://www.facebook.com/Steve-Davis-Daily-Soccer-Fix-330431036797/
153524114660094,Dynamo Theory: A Houston Dynamo Blog,,dynamotheory,Recreation & Sports Website,0.03,1985,76,yes,https://www.facebook.com/dynamotheory/
338295382822,Fear The Fin,,fearthefin,Recreation & Sports Website,0.01,13709,96,yes,https://www.facebook.com/fearthefin/
48444077373,Five for Howling,,Five4Howling,Recreation & Sports Website,0.01,1526,1,yes,https://www.facebook.com/Five4Howling/
108837452655,Raw Charge,,RawCharge,Recreation & Sports Website,0.13,2348,120,no,https://www.facebook.com/RawCharge/
58790889029,Defending Big D,,DefendingBigD,Recreation & Sports Website,0.01,3261,161,yes,https://www.facebook.com/DefendingBigD/
193660435499,Canes Country,,CanesCountry,Recreation & Sports Website,0.02,2531,119,no,https://www.facebook.com/CanesCountry/
108930082473132,Battle of California,,BattleOfCali,Recreation & Sports Website,0,602,2,yes,https://www.facebook.com/BattleOfCali/
62494212620,On the Forecheck,,OnTheForecheck,Recreation & Sports Website,0.08,3449,208,yes,https://www.facebook.com/OnTheForecheck/
107864392575733,Die by the Blade,,dbtbsabres,News & Media Website,0.08,3631,171,yes,https://www.facebook.com/dbtbsabres/
93840563463,Second City Hockey,,SecondCityHockey,Recreation & Sports Website,0.13,13480,576,yes,https://www.facebook.com/SecondCityHockey/
115579501031,Nucks Misconduct,,nucksmisconduct,Recreation & Sports Website,0.03,1953,13,yes,https://www.facebook.com/nucksmisconduct/
26087329406,Hockey Wilderness,,hockeywilderness,Recreation & Sports Website,0.1,8311,317,yes,https://www.facebook.com/hockeywilderness/
178660623508,Broad Street Hockey: For Philadelphia Flyers Fans,,broadsthockey,Recreation & Sports Website,0.17,35781,1615,yes,https://www.facebook.com/broadsthockey/
25719309948,Blueshirt Banter: For New York Rangers Fans,,BlueshirtBanter,Sports Team,0.23,25968,1446,no,https://www.facebook.com/BlueshirtBanter/
95575183252,Mile High Hockey,,MileHighHockey,Website,0.06,2173,145,yes,https://www.facebook.com/MileHighHockey/
107138599320072,Matchsticks & Gasoline: For Calgary Flames Fans,,,Recreation & Sports Website,0.13,3718,198,no,https://www.facebook.com/Matchsticks-Gasoline-For-Calgary-Flames-Fans-107138599320072/
285987000487,In Lou We Trust,,,Public Figure,0,177,0,yes,https://www.facebook.com/In-Lou-We-Trust-285987000487/
128737600503942,BCS Evolution,,,Author,0,19,0,yes,https://www.facebook.com/BCS-Evolution-128737600503942/
376128405797,For Whom The Cowbell Tolls,,forwhomthecowbelltolls,Recreation & Sports Website,0.08,42594,1533,yes,https://www.facebook.com/forwhomthecowbelltolls/
51816504717,Bucky's 5th Quarter,,Buckys5thQuarter,Recreation & Sports Website,0.11,21694,1659,yes,https://www.facebook.com/Buckys5thQuarter/
86410088406,Red Cup Rebellion,,redcuprebellion,Website,0.06,8518,411,yes,https://www.facebook.com/redcuprebellion/
109562325757883,Hammer & Rails,,HammerAndRails,Recreation & Sports Website,0.13,15401,2884,yes,https://www.facebook.com/HammerAndRails/
306404207189,Alligator Army,,AlligatorArmy,Recreation & Sports Website,0.02,31070,500,yes,https://www.facebook.com/AlligatorArmy/
