Source,Target,Type,Id,Label,timeset,Weight
340327135979921,193742123995472,Directed,86,,,1
193742123995472,1048091338583119,Directed,87,,,1
193742123995472,156065174628,Directed,88,,,1
193742123995472,568451346578186,Directed,89,,,1
193742123995472,1560128030946687,Directed,90,,,1
193742123995472,223649167822693,Directed,91,,,1
193742123995472,340327135979921,Directed,92,,,1
39606211535,20531316728,Directed,93,,,1
39606211535,791412954249306,Directed,94,,,1
39606211535,282056745312897,Directed,95,,,1
39606211535,13950081604,Directed,96,,,1
39606211535,46299886275,Directed,97,,,1
39606211535,5768707450,Directed,98,,,1
39606211535,8245623462,Directed,99,,,1
39606211535,1539014136324176,Directed,100,,,1
39606211535,634849843251821,Directed,101,,,1
39606211535,110080135682122,Directed,102,,,1
39606211535,210150045675806,Directed,103,,,1
39606211535,8389383510,Directed,104,,,1
39606211535,295277080511100,Directed,105,,,1
39606211535,218289944904955,Directed,106,,,1
39606211535,143203489108626,Directed,107,,,1
39606211535,312055897904,Directed,108,,,1
39606211535,201491739872419,Directed,109,,,1
39606211535,114841788592047,Directed,110,,,1
39606211535,133094123381744,Directed,111,,,1
39606211535,159986384033802,Directed,112,,,1
39606211535,45592857403,Directed,113,,,1
39606211535,146403465376742,Directed,114,,,1
39606211535,6129039822,Directed,115,,,1
39606211535,123146351030521,Directed,116,,,1
39606211535,301326396729324,Directed,117,,,1
39606211535,152618351445645,Directed,118,,,1
39606211535,189425335940,Directed,119,,,1
39606211535,150196931683690,Directed,120,,,1
39606211535,162618177083945,Directed,121,,,1
39606211535,118523148205452,Directed,122,,,1
39606211535,332616240855,Directed,123,,,1
39606211535,281709225144,Directed,124,,,1
39606211535,17689782594,Directed,125,,,1
39606211535,115396848484203,Directed,126,,,1
39606211535,323369556862,Directed,127,,,1
39606211535,148619311832873,Directed,128,,,1
39606211535,45126639765,Directed,129,,,1
39606211535,121028057923867,Directed,130,,,1
39606211535,115373925165009,Directed,131,,,1
39606211535,8725012666,Directed,132,,,1
39606211535,32312768032,Directed,133,,,1
39606211535,188730715013,Directed,134,,,1
39606211535,304664758419,Directed,135,,,1
39606211535,51212153078,Directed,136,,,1
39606211535,63476045407,Directed,137,,,1
39606211535,15730589196,Directed,138,,,1
39606211535,24266711840,Directed,139,,,1
39606211535,33735392231,Directed,140,,,1
39606211535,137007273115122,Directed,141,,,1
39606211535,64230771799,Directed,142,,,1
39606211535,14553116366,Directed,143,,,1
39606211535,112585963017,Directed,144,,,1
39606211535,174275217692,Directed,145,,,1
39606211535,112710942079291,Directed,146,,,1
39606211535,155123224502661,Directed,147,,,1
39606211535,121556044528315,Directed,148,,,1
39606211535,330431036797,Directed,149,,,1
39606211535,153524114660094,Directed,150,,,1
39606211535,338295382822,Directed,151,,,1
39606211535,48444077373,Directed,152,,,1
39606211535,108837452655,Directed,153,,,1
39606211535,58790889029,Directed,154,,,1
39606211535,193660435499,Directed,155,,,1
39606211535,108930082473132,Directed,156,,,1
39606211535,62494212620,Directed,157,,,1
39606211535,107864392575733,Directed,158,,,1
39606211535,93840563463,Directed,159,,,1
39606211535,115579501031,Directed,160,,,1
39606211535,26087329406,Directed,161,,,1
39606211535,178660623508,Directed,162,,,1
39606211535,25719309948,Directed,163,,,1
39606211535,95575183252,Directed,164,,,1
39606211535,107138599320072,Directed,165,,,1
39606211535,285987000487,Directed,166,,,1
39606211535,128737600503942,Directed,167,,,1
39606211535,376128405797,Directed,168,,,1
39606211535,51816504717,Directed,169,,,1
39606211535,86410088406,Directed,170,,,1
39606211535,109562325757883,Directed,171,,,1
39606211535,306404207189,Directed,172,,,1
39606211535,346480453179,Directed,173,,,1
39606211535,99528220127,Directed,174,,,1
39606211535,93610793386,Directed,175,,,1
39606211535,143617799811,Directed,176,,,1
39606211535,331102768522,Directed,177,,,1
39606211535,24763310770,Directed,178,,,1
39606211535,258750890420,Directed,179,,,1
39606211535,17918978414,Directed,180,,,1
39606211535,111994292146871,Directed,181,,,1
39606211535,36195757540,Directed,182,,,1
39606211535,110585322329814,Directed,183,,,1
39606211535,121756051169455,Directed,184,,,1
39606211535,368727052710,Directed,185,,,1
39606211535,255102617969,Directed,186,,,1
39606211535,116820538360160,Directed,187,,,1
39606211535,111860015493673,Directed,188,,,1
39606211535,7467565831,Directed,189,,,1
39606211535,56426715422,Directed,190,,,1
39606211535,346697009277,Directed,191,,,1
39606211535,13873806278,Directed,192,,,1
39606211535,138944599464016,Directed,193,,,1
39606211535,501803260286,Directed,194,,,1
39606211535,451243585233,Directed,195,,,1
39606211535,74788056594,Directed,196,,,1
39606211535,311878731502,Directed,197,,,1
39606211535,104043399632639,Directed,198,,,1
39606211535,273341272107,Directed,199,,,1
39606211535,102577042588,Directed,200,,,1
39606211535,133334597646,Directed,201,,,1
